AccountId,TeamMemberRole,AccountAccessLevel,OpportunityAccessLevel,CaseAccessLevel,ContactAccessLevel
001Px00000VvdHSIAZ,Law.com CSM,Edit,Read,None,Edit
001Px00000VvdIjIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VvdUUIAZ,Law.com CSM,Edit,Read,None,Edit
001Px00000VvdUmIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VvdVYIAZ,Law.com CSM,Edit,Read,None,Edit
001Px00000VvdW6IAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VvdnpIAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvdoqIAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvdp5IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VveApIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveFbIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveGtIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveGwIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveHCIAZ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveHKIAZ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveHMIAZ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveHTIAZ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveHXIAZ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveHoIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveHqIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveJpIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveQ4IAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveWyIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveXDIAZ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveXcIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveXeIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VveXwIAJ,Law.com CSM,Edit,Read,None,Edit
001Px00000VvefMIAR,Law.com CSM,Edit,Read,None,Edit
001Px00000VvefuIAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvegIIAR,Law.com CSM,Edit,Read,None,Edit
001Px00000VvetSIAR,Law.com CSM,Edit,Read,None,Edit
001Px00000VveteIAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvetfIAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VveuCIAR,Law.com CSM,Edit,Read,None,Edit
